0, 0, 0, X, X, X, 0, 0, 3, 0.0
0, 0, 0, X, X, Y, 0, 0, 3, 0.0
0, 0, 0, X, X, Z, 0, 0, 2, 0.0
0, 0, 0, X, X, 0, 0, 0, 2, 0.0
0, 0, 0, X, X, 1, 0, 0, 2, 0.0
0, 0, 0, X, X, +, 0, 0, 3, 0.0
0, 0, 0, X, X, -, 0, 0, 3, 0.0
0, 0, 0, X, X, i, 0, 0, 3, 0.0
0, 0, 0, X, X, j, 0, 0, 3, 0.0
0, 0, 0, X, Y, I, 0, 0, 2, 0.0
0, 0, 0, X, Y, X, 0, 0, 3, 0.0
0, 0, 0, X, Y, Y, 0, 0, 3, 0.0
0, 0, 0, X, Y, Z, 0, 0, 2, 0.0
0, 0, 0, X, Y, 0, 0, 0, 2, 0.0
0, 0, 0, X, Y, 1, 0, 0, 2, 0.0
0, 0, 0, X, Y, +, 0, 0, 3, 0.0
0, 0, 0, X, Y, -, 0, 0, 3, 0.0
0, 0, 0, X, Y, i, 0, 0, 3, 0.0
0, 0, 0, X, Y, j, 0, 0, 3, 0.0
0, 0, 0, X, Z, I, 0, 0, 1, 0.0
0, 0, 0, X, Z, X, 0, 0, 2, 0.0
0, 0, 0, X, Z, Y, 0, 0, 2, 0.0
0, 0, 0, X, Z, Z, 0, 0, 1, 0.0
0, 0, 0, X, Z, 0, 0, 0, 1, 0.0
0, 0, 0, X, Z, 1, 0, 0, 1, 0.0
0, 0, 0, X, Z, +, 0, 0, 2, 0.0
0, 0, 0, X, Z, -, 0, 0, 2, 0.0
0, 0, 0, X, Z, i, 0, 0, 2, 0.0
0, 0, 0, X, Z, j, 0, 0, 2, 0.0
0, 0, 0, X, 0, I, 0, 0, 1, 0.0
0, 0, 0, X, 0, X, 0, 0, 2, 0.0
0, 0, 0, X, 0, Y, 0, 0, 2, 0.0
0, 0, 0, X, 0, Z, 0, 0, 1, 0.0
0, 0, 0, X, 0, 0, 0, 0, 1, 0.0
0, 0, 0, X, 0, 1, 0, 0, 1, 0.0
0, 0, 0, X, 0, +, 0, 0, 2, 0.0
0, 0, 0, X, 0, -, 0, 0, 2, 0.0
0, 0, 0, X, 0, i, 0, 0, 2, 0.0
0, 0, 0, X, 0, j, 0, 0, 2, 0.0
0, 0, 0, X, 1, I, 0, 0, 1, 0.0
0, 0, 0, X, 1, X, 0, 0, 2, 0.0
0, 0, 0, X, 1, Y, 0, 0, 2, 0.0
0, 0, 0, X, 1, Z, 0, 0, 1, 0.0
0, 0, 0, X, 1, 0, 0, 0, 1, 0.0
0, 0, 0, X, 1, 1, 0, 0, 1, 0.0
0, 0, 0, X, 1, +, 0, 0, 2, 0.0
0, 0, 0, X, 1, -, 0, 0, 2, 0.0
0, 0, 0, X, 1, i, 0, 0, 2, 0.0
0, 0, 0, X, 1, j, 0, 0, 2, 0.0
0, 0, 0, X, +, I, 0, 0, 2, 0.0
0, 0, 0, X, +, X, 0, 0, 3, 0.0
0, 0, 0, X, +, Y, 0, 0, 3, 0.0
0, 0, 0, X, +, Z, 0, 0, 2, 0.0
0, 0, 0, X, +, 0, 0, 0, 2, 0.0
0, 0, 0, X, +, 1, 0, 0, 2, 0.0
0, 0, 0, X, +, +, 0, 0, 3, 0.0
0, 0, 0, X, +, -, 0, 0, 3, 0.0
0, 0, 0, X, +, i, 0, 0, 3, 0.0
0, 0, 0, X, +, j, 0, 0, 3, 0.0
0, 0, 0, X, -, I, 0, 0, 2, 0.0
0, 0, 0, X, -, X, 0, 0, 3, 0.0
0, 0, 0, X, -, Y, 0, 0, 3, 0.0
0, 0, 0, X, -, Z, 0, 0, 2, 0.0
0, 0, 0, X, -, 0, 0, 0, 2, 0.0
0, 0, 0, X, -, 1, 0, 0, 2, 0.0
0, 0, 0, X, -, +, 0, 0, 3, 0.0
0, 0, 0, X, -, -, 0, 0, 3, 0.0
0, 0, 0, X, -, i, 0, 0, 3, 0.0
0, 0, 0, X, -, j, 0, 0, 3, 0.0
0, 0, 0, X, i, I, 0, 0, 2, 0.0
0, 0, 0, X, i, X, 0, 0, 3, 0.0
0, 0, 0, X, i, Y, 0, 0, 3, 0.0
0, 0, 0, X, i, Z, 0, 0, 2, 0.0
0, 0, 0, X, i, 0, 0, 0, 2, 0.0
0, 0, 0, X, i, 1, 0, 0, 2, 0.0
0, 0, 0, X, i, +, 0, 0, 3, 0.0
0, 0, 0, X, i, -, 0, 0, 3, 0.0
0, 0, 0, X, i, i, 0, 0, 3, 0.0
0, 0, 0, X, i, j, 0, 0, 3, 0.0
0, 0, 0, X, j, I, 0, 0, 2, 0.0
0, 0, 0, X, j, X, 0, 0, 3, 0.0
0, 0, 0, X, j, Y, 0, 0, 3, 0.0
0, 0, 0, X, j, Z, 0, 0, 2, 0.0
0, 0, 0, X, j, 0, 0, 0, 2, 0.0
